Species,Water,CNMs,Dimension,Shape,Length,Diameter,Thickness,Zeta,Medium,RPM,C%,Modification,Dispersant,Duration,LightI,Temperature,LightD,Conc.,N,inhibition
0,1,0,2,0,250,250,0.5,-23,4,0,88.73,3,3,48,NA,22,12,0.1,1.00E+06,-47.84482759
0,1,0,2,0,250,250,0.5,-23,4,0,88.73,3,3,12,NA,22,12,0.1,1.00E+06,-43.63636364
0,1,0,2,0,250,250,0.5,-23,4,0,88.73,3,3,96,NA,22,12,0.1,1.00E+06,-43.04068522
0,1,0,2,0,250,250,0.5,-23,4,0,88.73,3,3,72,NA,22,12,0.1,1.00E+06,-36.38554217
0,1,0,2,0,250,250,0.5,-23,4,0,88.73,3,3,24,NA,22,12,0.05,1.00E+06,-28.20512821
11,1,3,1,2,2000,25,25,-20.3,3,0,95.62,8,3,144,5560,25,12,5,50000,-26.30331752
6,1,3,1,2,17500,1.5,1.5,NA,3,0,96.3,8,3,96,2250,25,12,0.1,2.00E+06,-22.53968255
0,1,0,2,0,250,250,0.5,-23,4,0,88.73,3,3,96,NA,22,12,0.05,1.00E+06,-22.48394004
10,1,0,2,0,5050,5050,1.5,-36.93960511,3,NA,NA,3,3,24,NA,28,24,0.01,5.00E+05,-21.68674694
6,1,3,1,2,17500,1.5,1.5,NA,3,0,96.3,8,3,72,2250,25,12,0.5,2.00E+06,-20.77922077
0,1,0,2,0,250,250,0.5,-23,4,0,88.73,3,3,48,NA,22,12,0.05,1.00E+06,-20.25862069
6,1,3,1,2,17500,1.5,1.5,NA,3,0,96.3,8,3,72,2250,25,12,0.1,2.00E+06,-19.62481962
4,0,4,1,3,27500,NA,NA,NA,7,0,NA,8,3,168,3892,20,12,1,10000,-19.27634698
1,0,0,2,0,1500,1500,NA,-8.35,1,NA,NA,3,3,288,5560,18,12,0.5,837000,-19.09212285
0,1,0,2,0,250,250,0.5,-23,4,0,88.73,3,3,72,NA,22,12,0.05,1.00E+06,-18.79518072
11,1,2,0,1,10,10,10,-5.21,7,NA,NA,8,3,24,4000,25,12,5,20000,-17.89264414
11,1,3,1,2,2000,25,25,-20.3,3,0,95.62,8,3,192,5560,25,12,5,50000,-17.79242177
11,1,2,0,1,10,10,10,-5.21,7,NA,NA,8,3,48,4000,25,12,10,20000,-15.02982107
6,1,3,1,2,50000,30,30,-30.18,3,0,NA,8,3,144,2000,25,12,5,334095.0099,-14.66275659
10,1,0,2,0,5050,5050,1.5,-36.93960511,3,NA,NA,3,3,72,NA,28,24,0.01,5.00E+05,-14.64343831
0,1,0,2,0,250,250,0.5,-23,4,0,88.73,3,3,12,NA,22,12,0.05,1.00E+06,-11.81818182
11,1,3,1,2,2000,25,25,-20.3,3,0,95.62,8,3,96,5560,25,12,1,50000,-11.67512687
11,1,2,0,1,10,10,10,-5.21,7,NA,NA,8,3,48,4000,25,12,5,20000,-10.73558648
